Parameter,LowerBound,InitialGuess,FittedValue,UpperBound,DeltaFromInitial,FractionalChange
k_meth,0.001,1,0.873863579693393,10,-0.126136420306607,-0.126136420306607
k_sulf,0.001,1,0.0262939113850306,10,-0.973706088614969,-0.973706088614969
k_aceto,0.001,1,0.0043301966735385,10,-0.995669803326461,-0.995669803326461
Y_m,0.01,0.05,0.05,0.5,0,0
Y_s,0.01,0.05,0.05,0.5,0,0
Y_a,0.01,0.05,0.0500005282479015,0.5,5.28247901490642e-07,1.05649580298128e-05
KI_meth,0.001,0.1,0.00225011741500438,10,-0.0977498825849956,-0.977498825849956
KI_sulf,0.001,0.1,0.00309276769324845,10,-0.0969072323067516,-0.969072323067516
KI_aceto,0.001,0.1,0.520849901927617,10,0.420849901927617,4.20849901927617
k_precip,0,0.01,0.749106179872584,1,0.739106179872584,73.9106179872584
H2S_sat,0,0.01,2.22044604925031e-14,1,-0.0099999999999778,-0.99999999999778
H2_thresh,0,0.01,0.12618298967552,1,0.11618298967552,11.618298967552
DG_thresh,-50,-10,-10.0000021609522,0,-2.1609521834165e-06,-2.1609521834165e-07
