parameter,lower_bound,initial_guess,fitted_value,upper_bound,delta_from_initial,fractional_change
k_meth,0.001,1.0,0.1789644162686109,10.0,-0.8210355837313891,-0.8210355837313891
k_sulf,0.001,1.0,0.12236892061702682,10.0,-0.8776310793829731,-0.8776310793829731
k_aceto,0.001,1.0,0.029620222608874,10.0,-0.970379777391126,-0.970379777391126
Y_m,0.01,0.05,0.01215399244191623,0.5,-0.037846007558083775,-0.7569201511616754
Y_s,0.01,0.05,0.3364111472936929,0.5,0.28641114729369294,5.728222945873858
Y_a,0.01,0.05,0.32477587098702076,0.5,0.2747758709870208,5.495517419740415
KI_meth,0.001,0.1,0.029904557970428396,10.0,-0.0700954420295716,-0.700954420295716
KI_sulf,0.001,0.1,0.001569615249557536,10.0,-0.09843038475044247,-0.9843038475044247
KI_aceto,0.001,0.1,0.026925156480074788,10.0,-0.07307484351992521,-0.7307484351992521
k_precip,0.0,0.01,0.2651936893469799,1.0,0.2551936893469799,25.51936893469799
H2S_sat,0.0,0.01,0.004101880321200964,1.0,-0.005898119678799036,-0.5898119678799036
H2_thresh,0.0,0.01,0.8943469589190313,1.0,0.8843469589190313,88.43469589190312
DG_thresh,-50.0,-10.0,-0.48397135099389216,0.0,9.516028649006108,0.9516028649006107
